"Taxation statistics 2021–22 Individuals: Taxable income, by state/territory1 and postcode, 2021–22 income year2",,,,,,,,
State/ Territory1,Postcode,"Individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking by state5/ territory descending
ACT,2600,"5,951","5,894","791,214,764","132,955","86,986",51,2
ACT,2601,"3,614","3,551","265,604,097","73,493","51,365",632,22
ACT,2602,"23,085","22,892","2,026,942,835","87,803","71,027",308,9
ACT,2603,"7,558","7,513","1,055,186,744","139,612","85,907",44,1
ACT,2604,"9,137","9,060","953,261,746","104,330","84,603",158,4
ACT,2605,"8,111","8,064","863,964,219","106,518","76,552",142,3
ACT,2606,"8,907","8,835","755,048,299","84,770","67,876",346,11
ACT,2607,"9,988","9,918","933,086,899","93,421","69,862",248,7
ACT,2609,583,574,"55,639,067","95,436","56,513",221,5
ACT,2610,53,52,"3,808,558","71,860","58,369",704,25
ACT,2611,"24,273","24,085","2,137,307,306","88,053","74,016",306,8
ACT,2612,"14,024","13,919","1,319,616,538","94,097","73,130",237,6
ACT,2614,"13,576","13,467","1,109,700,228","81,740","65,135",391,13
ACT,2615,"30,318","30,081","2,230,545,179","73,572","65,087",627,21
ACT,2616,113,112,"9,334,307","82,604","61,094",381,12
ACT,2617,"26,134","25,903","1,898,008,984","72,626","60,138",673,23
ACT,2900,"3,112","3,083","224,351,215","72,092","65,330",696,24
ACT,2902,"9,967","9,894","754,063,913","75,656","63,895",554,17
ACT,2903,"6,159","6,101","465,912,111","75,647","65,693",555,18
ACT,2904,"8,646","8,582","697,060,121","80,622","69,042",419,14
ACT,2905,"18,652","18,524","1,376,165,316","73,781","66,572",615,20
ACT,2906,"11,901","11,826","897,000,947","75,372","68,491",565,19
ACT,2911,"3,144","3,099","272,230,849","86,587","75,729",324,10
ACT,2912,"5,868","5,810","394,647,997","67,254","56,774",954,26
ACT,2913,"26,668","26,428","2,041,143,615","76,539","66,096",529,16
ACT,2914,"21,917","21,691","1,757,664,976","80,196","70,086",426,15
NSW,1240,54,49,"1,740,171","32,225","9,796","2,620",622
NSW,1355,71,68,"6,647,202","93,623","54,566",244,92
NSW,2000,"22,833","22,278","2,455,997,017","107,563","42,927",137,60
NSW,2001,246,229,"34,287,642","139,381","50,758",45,27
NSW,2002,53,45,"3,444,320","64,987","19,085","1,109",281
NSW,2007,"5,159","5,042","316,418,589","61,333","41,108","1,390",342
NSW,2008,"6,773","6,621","460,997,711","68,064","47,408",900,229
NSW,2009,"8,920","8,779","937,653,211","105,118","63,456",155,65
NSW,2010,"19,012","18,788","2,178,339,299","114,577","72,740",103,51
NSW,2011,"12,968","12,830","1,779,908,328","137,254","74,032",47,29
NSW,2012,73,73,"7,972,480","109,212","67,705",132,59
NSW,2014,52,51,"7,065,845","135,882","61,742",50,31
NSW,2015,"8,369","8,301","972,480,710","116,200","81,946",95,49
NSW,2016,"8,532","8,433","815,532,526","95,585","67,875",219,85
NSW,2017,"18,874","18,572","1,527,701,337","80,942","66,364",412,131
NSW,2018,"12,453","12,287","921,908,492","74,031","59,079",606,168
NSW,2019,"8,498","8,437","680,837,387","80,117","66,778",428,135
NSW,2020,"14,886","14,649","981,969,570","65,966","52,962","1,044",262
NSW,2021,"10,317","10,216","1,824,091,046","176,804","84,541",16,11
NSW,2022,"9,548","9,450","1,112,662,166","116,534","66,897",92,48
NSW,2023,"7,193","7,103","1,767,524,263","245,728","84,477",5,3
NSW,2024,"7,339","7,273","1,301,720,263","177,370","80,924",14,10
NSW,2025,"4,978","4,908","1,070,880,893","215,123","86,071",10,7
NSW,2026,"22,939","22,660","3,373,218,615","147,052","75,296",35,21
NSW,2027,"5,703","5,624","1,538,539,905","269,777","87,915",3,2
NSW,2028,"3,304","3,255","1,170,635,041","354,308","88,066",1,1
NSW,2029,"6,790","6,702","1,100,354,583","162,055","75,958",25,15
NSW,2030,"9,590","9,431","2,301,353,942","239,974","79,934",6,4
NSW,2031,"23,035","22,819","2,775,377,857","120,485","74,279",81,45
NSW,2032,"9,145","9,010","708,686,821","77,494","50,428",502,152
NSW,2033,"7,548","7,449","665,201,462","88,130","57,559",305,106
NSW,2034,"13,832","13,700","1,807,348,828","130,664","77,979",56,34
NSW,2035,"22,148","21,891","2,201,753,728","99,411","60,836",187,76
NSW,2036,"19,897","19,667","1,620,442,277","81,442","58,132",401,129
NSW,2037,"10,658","10,518","1,053,125,892","98,811","62,419",188,77
NSW,2038,"6,159","6,103","747,289,047","121,333","78,637",79,43
NSW,2039,"5,796","5,732","758,024,703","130,784","87,621",55,33
NSW,2040,"14,163","14,054","1,561,998,353","110,287","78,986",125,57
NSW,2041,"10,322","10,208","1,680,004,826","162,760","87,400",24,14
NSW,2042,"12,923","12,808","1,222,649,291","94,610","68,874",230,87
NSW,2043,"7,096","7,059","754,075,836","106,268","88,982",146,64
NSW,2044,"5,418","5,381","470,128,436","86,772","71,567",320,111
NSW,2045,"4,091","4,064","499,240,418","122,034","65,957",76,42
NSW,2046,"16,723","16,573","1,779,826,373","106,430","70,935",143,62
NSW,2047,"7,729","7,661","928,656,596","120,152","76,386",84,46
NSW,2048,"5,045","5,012","514,162,412","101,915","71,401",172,71
NSW,2049,"8,078","8,019","753,232,781","93,245","68,681",249,94
NSW,2050,"5,798","5,734","548,505,512","94,603","74,214",231,88
NSW,2052,140,135,"2,924,819","20,892","9,716","2,629",624
NSW,2057,153,149,"15,902,576","103,938","63,928",161,68
NSW,2059,116,111,"14,977,277","129,114","80,424",60,37
NSW,2060,"10,891","10,758","1,496,264,205","137,385","79,536",46,28
NSW,2061,"4,302","4,229","729,452,328","169,561","84,945",21,12
NSW,2062,"4,726","4,688","701,038,481","148,337","84,980",33,19
NSW,2063,"4,275","4,222","908,332,792","212,476","81,137",11,8
NSW,2064,"6,216","6,117","627,685,683","100,979","66,735",176,72
NSW,2065,"22,640","22,372","2,697,973,142","119,168","82,151",86,47
NSW,2066,"22,382","22,167","2,836,749,510","126,742","76,891",64,38
NSW,2067,"17,726","17,335","1,494,211,677","84,295","51,935",350,119
NSW,2068,"10,963","10,835","1,672,682,858","152,575","73,684",29,17
NSW,2069,"9,568","9,421","1,407,986,016","147,156","69,376",34,20
NSW,2070,"9,774","9,599","1,333,416,841","136,425","65,597",49,30
NSW,2071,"9,034","8,869","1,174,245,579","129,981","60,608",58,35
NSW,2072,"5,937","5,817","630,982,482","106,280","58,223",145,63
NSW,2073,"11,308","11,155","1,393,137,253","123,199","68,465",74,41
NSW,2074,"15,052","14,875","1,876,038,450","124,637","66,542",70,40
NSW,2075,"13,881","13,684","1,517,730,229","109,339","61,962",130,58
NSW,2076,"15,900","15,700","1,790,528,986","112,612","63,267",114,55
NSW,2077,"26,955","26,599","1,997,245,337","74,096","57,776",603,167
NSW,2079,"5,075","5,021","397,326,989","78,291","61,756",480,147
