Australian Bureau of Statistics,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA2_MAINCODE_2011,SA2_NAME_2011,RATIO,PERCENTAGE,,,,,,,
,,,,,,,,,,,,
0800,0800,701011002,Darwin City,1.0,99.9999977,,,,,,,
0810,0810,701021010,Alawa,0.0719971,7.1997071,,,,,,,
0810,0810,701021013,Brinkin - Nakara,0.0963918,9.6391775,,,,,,,
0810,0810,701021016,Coconut Grove,0.0964936,9.6493552,,,,,,,
0810,0810,701021018,Jingili,0.061562,6.1561984,,,,,,,
0810,0810,701021021,Lyons (NT),0.0702012,7.0201196,,,,,,,
0810,0810,701021023,Millner,0.0834829,8.3482896,,,,,,,
0810,0810,701021024,Moil,0.0685753,6.8575267,,,,,,,
0810,0810,701021025,Nightcliff,0.1239038,12.3903832,,,,,,,
0810,0810,701021026,Rapid Creek,0.1107234,11.0723434,,,,,,,
0810,0810,701021027,Tiwi,0.0850414,8.504137,,,,,,,
0810,0810,701021028,Wagaman,0.0714211,7.1421101,,,,,,,
0810,0810,701021029,Wanguri,0.0602065,6.0206523,,,,,,,
0812,0812,701021011,Anula,0.1244602,12.4460201,,,,,,,
0812,0812,701021014,Buffalo Creek,0.0001624,0.0162374,,,,,,,
0812,0812,701021019,Karama,0.2508873,25.088725,,,,,,,
0812,0812,701021020,Leanyer,0.2428109,24.2810854,,,,,,,
0812,0812,701021022,Malak - Marrara,0.2460735,24.607349,,,,,,,
0812,0812,701021030,Wulagi,0.1355918,13.5591837,,,,,,,
0820,0820,701011001,Darwin Airport,0.0239918,2.3991839,,,,,,,
0820,0820,701011003,East Point,0.0022825,0.2282511,,,,,,,
0820,0820,701011004,Fannie Bay - The Gardens,0.1723339,17.2333878,,,,,,,
0820,0820,701011005,Larrakeyah,0.1720324,17.2032357,,,,,,,
0820,0820,701011006,Ludmilla - The Narrows,0.1519145,15.1914502,,,,,,,
0820,0820,701011007,Parap,0.1048335,10.4833488,,,,,,,
0820,0820,701011008,Stuart Park,0.188051,18.805105,,,,,,,
0820,0820,701011009,Woolner - Bayview - Winnellie,0.1406105,14.0610549,,,,,,,
0820,0820,701021012,Berrimah,0.0437904,4.379037,,,,,,,
0820,0820,701021015,Charles Darwin,0.0001595,0.0159456,,,,,,,
0822,0822,701021015,Charles Darwin,0.000245,0.0245014,,,,,,,
0822,0822,701021017,East Arm,0.00024,0.0239994,,,,,,,
0822,0822,701031032,Humpty Doo,0.0366849,3.6684941,,,,,,,
0822,0822,701031033,Koolpinyah,0.0005256,0.0525621,,,,,,,
0822,0822,701031034,Virginia,0.0350149,3.5014906,,,,,,,
0822,0822,701031035,Weddell,0.071293,7.1293001,,,,,,,
0822,0822,702031057,Alligator,0.0876488,8.7648792,,,,,,,
0822,0822,702031058,Daly,0.0629024,6.2902377,,,,,,,
0822,0822,702031059,Thamarrurr,0.0939435,9.3943548,,,,,,,
0822,0822,702031060,Tiwi Islands,0.104904,10.4903966,,,,,,,
0822,0822,702031061,West Arnhem,0.1912706,19.1270622,,,,,,,
0822,0822,702041062,Anindilyakwa,0.0647919,6.479189,,,,,,,
0822,0822,702041063,East Arnhem,0.2220909,22.2090929,,,,,,,
0822,0822,702051066,Gulf,0.0279954,2.7995409,,,,,,,
0822,0822,702051067,Katherine,0.0004489,0.0448944,,,,,,,
0828,0828,701021012,Berrimah,1.0,99.9999956,,,,,,,
0829,0829,701031031,Howard Springs,0.9346851,93.4685098,,,,,,,
0829,0829,701041038,Durack - Marlow Lagoon,0.0653149,6.5314877,,,,,,,
0830,0830,701031033,Koolpinyah,0.0002039,0.0203913,,,,,,,
0830,0830,701041037,Driver,0.1646299,16.4629909,,,,,,,
0830,0830,701041038,Durack - Marlow Lagoon,0.1999719,19.9971886,,,,,,,
0830,0830,701041039,Gray,0.1842764,18.4276436,,,,,,,
0830,0830,701041040,Moulden,0.1775423,17.7542318,,,,,,,
0830,0830,701041041,Palmerston - North,0.0829278,8.2927775,,,,,,,
0830,0830,701041044,Woodroffe,0.1903993,19.0399293,,,,,,,
0832,0832,701031031,Howard Springs,0.0086835,0.8683474,,,,,,,
0832,0832,701031034,Virginia,0.00078,0.0780012,,,,,,,
0832,0832,701041036,Bakewell,0.3297649,32.9764863,,,,,,,
0832,0832,701041041,Palmerston - North,0.2729104,27.2910389,,,,,,,
0832,0832,701041042,Palmerston - South,0.0006205,0.0620546,,,,,,,
0832,0832,701041043,Rosebery - Bellamack,0.3872407,38.7240716,,,,,,,
0835,0835,701031031,Howard Springs,0.6132526,61.3252587,,,,,,,
0835,0835,701031034,Virginia,0.3866807,38.668069,,,,,,,
0836,0836,701031032,Humpty Doo,1.0,100.0,,,,,,,
0837,0837,701031035,Weddell,1.0,100.0,,,,,,,
0838,0838,701031035,Weddell,1.0,100.0,,,,,,,
0840,0840,702031057,Alligator,0.9990751,99.9075127,,,,,,,
0841,0841,701031035,Weddell,1.0,100.0,,,,,,,
0845,0845,702031057,Alligator,1.0,100.0,,,,,,,
0846,0846,702031057,Alligator,1.0,100.0,,,,,,,
0847,0847,702031058,Daly,1.0,100.0,,,,,,,
0850,0850,702051067,Katherine,1.0,100.0,,,,,,,
0852,0852,508041207,Halls Creek,0.0004717,0.0471657,,,,,,,
0852,0852,508041208,Kununurra,0.0001942,0.0194177,,,,,,,
0852,0852,702011053,Tanami,0.0002504,0.0250407,,,,,,,
0852,0852,702021055,Barkly,0.0251289,2.5128864,,,,,,,
0852,0852,702031058,Daly,0.0005826,0.0582582,,,,,,,
0852,0852,702051065,Elsey,0.2569535,25.6953473,,,,,,,
0852,0852,702051066,Gulf,0.2954052,29.5405193,,,,,,,
0852,0852,702051067,Katherine,0.1085168,10.8516825,,,,,,,
0852,0852,702051068,Victoria River,0.3124968,31.2496816,,,,,,,
0853,0853,702051067,Katherine,1.0,100.0,,,,,,,
0854,0854,702051066,Gulf,1.0,100.0,,,,,,,
0860,0860,702021056,Tennant Creek,1.0,100.0,,,,,,,
0862,0862,702021055,Barkly,0.9129339,91.2933904,,,,,,,
0862,0862,702051066,Gulf,0.0870661,8.7066096,,,,,,,
0870,0870,702011045,Charles,0.1770972,17.7097186,,,,,,,
0870,0870,702011046,East Side,0.2078703,20.7870328,,,,,,,
0870,0870,702011047,Flynn (NT),0.1789228,17.8922763,,,,,,,
0870,0870,702011048,Larapinta,0.2000869,20.0086887,,,,,,,
0870,0870,702011049,Mount Johns,0.1445364,14.4536427,,,,,,,
0870,0870,702011051,Ross,0.0914864,9.1486408,,,,,,,
0872,0872,406021138,APY Lands,0.1157318,11.5731833,,,,,,,
0872,0872,508031203,Leinster - Leonora,0.0626809,6.2680866,,,,,,,
0872,0872,508061219,East Pilbara,0.0200639,2.0063912,,,,,,,
0872,0872,702011050,Petermann - Simpson,0.1425133,14.2513265,,,,,,,
0872,0872,702011052,Sandover - Plenty,0.2453543,24.5354301,,,,,,,
0872,0872,702011053,Tanami,0.1927279,19.2727909,,,,,,,
0872,0872,702011054,Yuendumu - Anmatjere,0.136008,13.6008004,,,,,,,
0872,0872,702021055,Barkly,0.0849199,8.4919894,,,,,,,
0880,0880,702041063,East Arnhem,0.3305265,33.0526524,,,,,,,
0880,0880,702041064,Nhulunbuy,0.6694735,66.9473476,,,,,,,
0885,0885,702041062,Anindilyakwa,1.0,100.0,,,,,,,
0886,0886,702031057,Alligator,1.0,100.0,,,,,,,
0909,0909,701021013,Brinkin - Nakara,1.0,100.0,,,,,,,
2000,2000,117031337,Sydney - Haymarket - The Rocks,0.9999009,99.990085,,,,,,,
2006,2006,117031332,Newtown - Camperdown - Darlington,0.983656,98.3656025,,,,,,,
2006,2006,117031335,Redfern - Chippendale,0.016344,1.6343975,,,,,,,
2007,2007,117031334,Pyrmont - Ultimo,0.9998453,99.9845316,,,,,,,
2007,2007,117031335,Redfern - Chippendale,0.0001547,0.0154684,,,,,,,
2008,2008,117031332,Newtown - Camperdown - Darlington,0.3569159,35.6915882,,,,,,,
2008,2008,117031335,Redfern - Chippendale,0.6430841,64.3084118,,,,,,,
2009,2009,117031334,Pyrmont - Ultimo,1.0,100.0,,,,,,,
