Australian Bureau of Statistics,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA4_CODE_2011,SA4_NAME_2011,RATIO,PERCENTAGE,,,,,,,
,,,,,,,,,,,,
0800,0800,701,Darwin,1.0,100.0,,,,,,,
0810,0810,701,Darwin,1.0,100.0,,,,,,,
0812,0812,701,Darwin,1.0,100.0,,,,,,,
0820,0820,701,Darwin,1.0,100.0,,,,,,,
0822,0822,701,Darwin,0.1440035,14.4003484,,,,,,,
0822,0822,702,Northern Territory - Outback,0.8559965,85.5996516,,,,,,,
0828,0828,701,Darwin,1.0,100.0,,,,,,,
0829,0829,701,Darwin,1.0,100.0,,,,,,,
0830,0830,701,Darwin,0.9999985,99.9998534,,,,,,,
0832,0832,701,Darwin,1.0,100.0,,,,,,,
0835,0835,701,Darwin,1.0,100.0,,,,,,,
0836,0836,701,Darwin,1.0,100.0,,,,,,,
0837,0837,701,Darwin,1.0,100.0,,,,,,,
0838,0838,701,Darwin,1.0,100.0,,,,,,,
0840,0840,702,Northern Territory - Outback,0.9990751,99.9075127,,,,,,,
0841,0841,701,Darwin,1.0,100.0,,,,,,,
0845,0845,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0846,0846,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0847,0847,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0850,0850,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0852,0852,508,Western Australia - Outback,0.0006658,0.0665834,,,,,,,
0852,0852,702,Northern Territory - Outback,0.9993342,99.9334166,,,,,,,
0853,0853,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0854,0854,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0860,0860,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0862,0862,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0870,0870,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0872,0872,406,South Australia - Outback,0.1157318,11.5731848,,,,,,,
0872,0872,508,Western Australia - Outback,0.0827448,8.2744778,,,,,,,
0872,0872,702,Northern Territory - Outback,0.8015234,80.1523374,,,,,,,
0880,0880,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0885,0885,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0886,0886,702,Northern Territory - Outback,1.0,100.0,,,,,,,
0909,0909,701,Darwin,1.0,100.0,,,,,,,
2000,2000,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2006,2006,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2007,2007,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2008,2008,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2009,2009,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2010,2010,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2011,2011,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2015,2015,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2016,2016,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2017,2017,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2018,2018,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2019,2019,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2020,2020,117,Sydney - City and Inner South,1.0,100.0,,,,,,,
2021,2021,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2022,2022,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2023,2023,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2024,2024,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2025,2025,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2026,2026,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2027,2027,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2028,2028,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2029,2029,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
2030,2030,118,Sydney - Eastern Suburbs,1.0,100.0,,,,,,,
