exposure_id,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_premium,earned_units
exposure_000a0128-7995-4e26-91e2-fda217a5837d,male,false,,,2024-05-27 17:00:00,38.0,80,0,House,Rozelle,2039,NSW,,800,3 years,,1,2.0,purebred,sighthound,whippet,whippet,false,0,2024-05-01 08:14:21.169465,Morning (05:00 - 11:59),exposure_000a0128-7995-4e26-91e2-fda217a5837d,1,62.43967741935483,0.8709677419354838
exposure_000e4bc1-8623-43a5-a47f-3685d8d084be,male,true,7-12 mo,false,2024-06-30 17:00:00,12.0,80,200,House,Byford,6122,WA,1996-11-11,80200,7-12 months,27.0,1,3.0,unnamed cross,unknown,rottweiler cross,rottweiler cross,false,0,2024-07-01 12:37:24.156228,Afternoon (12:00 - 17:59),exposure_000e4bc1-8623-43a5-a47f-3685d8d084be,1,75.91999999999999,0.9999999999999999
exposure_000f48d8-d205-4ea8-839d-cceadde43de8,female,false,,false,2024-06-08 17:00:00,5.0,80,200,House,Carrum Downs,3201,VIC,1993-05-07,80200,0-6 months,31.0,2,3.5,cross,cross,cross,"labrador retriever cross, great dane cross",true,0,2024-06-09 03:15:22.017518,Late Night (00:00 - 04:59),exposure_000f48d8-d205-4ea8-839d-cceadde43de8,1,39.864107526881725,0.9913978494623654
exposure_0014590f-b9e6-4122-9dc3-2e16003a5bd7,female,false,,,2024-01-06 17:00:00,2.0,100,100,House,Lewiston,5501,SA,1974-08-30,100100,0-6 months,49.0,1,1.0,cross,,pomchi,pomchi,false,0,2024-01-07 15:57:42.954792,Afternoon (12:00 - 17:59),exposure_0014590f-b9e6-4122-9dc3-2e16003a5bd7,1,7.248387096774192,0.593548387096774
exposure_0015ad7c-fe8d-46fe-88a5-f15505d770cd,female,false,,,2024-08-08 17:00:00,3.0,80,200,House,Reservoir,3073,VIC,1986-07-24,80200,0-6 months,38.0,1,3.0,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,false,0,2024-08-09 13:53:38.223405,Afternoon (12:00 - 17:59),exposure_0015ad7c-fe8d-46fe-88a5-f15505d770cd,1,32.78552688172043,0.9913978494623653
exposure_001bda28-243e-43d4-b062-4ca72a0471b2,female,false,,,2024-01-09 17:00:00,2.0,80,0,House,Hindmarsh Valley,5211,SA,1977-09-08,800,0-6 months,46.0,1,3.0,purebred,shepherd type,german shepherd,german shepherd,false,0,2024-01-10 12:30:35.42438,Afternoon (12:00 - 17:59),exposure_001bda28-243e-43d4-b062-4ca72a0471b2,1,57.95367741935483,0.990322580645161
exposure_003027db-4730-4f0c-9ead-313b6265e79d,male,true,0-3 mo,true,2024-09-09 17:00:00,47.0,90,200,House,Stirling,5152,SA,1964-12-04,90200,3 years,59.0,1,1.0,unnamed cross,unknown,maltese cross,maltese cross,true,0,2024-09-10 12:27:23.143328,Afternoon (12:00 - 17:59),exposure_003027db-4730-4f0c-9ead-313b6265e79d,1,23.03000000000001,1.0000000000000002
exposure_00323881-4881-4119-828e-7d9b472b50bd,female,true,1-2 yr,,2023-11-06 17:00:00,36.0,90,100,House,Spring Gully,3550,VIC,1976-04-08,90100,3 years,47.0,1,3.0,unnamed cross,unknown,labrador retriever cross,labrador retriever cross,false,0,2023-11-07 09:17:51.180041,Morning (05:00 - 11:59),exposure_00323881-4881-4119-828e-7d9b472b50bd,1,49.985419354838704,0.9935483870967741
exposure_0032d4a4-43e3-467f-9cc4-66505950a42b,male,false,,false,2024-08-03 17:00:00,11.0,100,200,Apartment,Lidcombe,2141,NSW,1994-04-28,100200,7-12 months,30.0,1,1.0,purebred,brachycephalic,chihuahua,chihuahua,false,0,2024-08-04 14:01:16.343624,Afternoon (12:00 - 17:59),exposure_0032d4a4-43e3-467f-9cc4-66505950a42b,1,48.552870967741946,0.9967741935483869
exposure_003ca53f-1a3c-4e6d-8799-7a3412935150,male,false,,,2024-03-05 17:00:00,21.0,90,100,House,Huntingdale,6110,WA,1983-11-02,90100,1 years,40.0,1,3.0,cross,,miniature labradoodle,miniature labradoodle,false,0,2024-03-06 15:44:14.910805,Afternoon (12:00 - 17:59),exposure_003ca53f-1a3c-4e6d-8799-7a3412935150,1,42.65940860215054,0.9946236559139783
