claim_start_date,claim_status,condition_category,claim_id,tenure,exposure_id,claim_paid,total_claim_amount,,unique_ID,row_id,UW_Date,exposure_id,tenure,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_units,,check
15/1/2024 0:00,covered_paid,Illness,claim_0001aa78-84d8-4305-ba66-acef6043d1b6,2,exposure_10c44027-85b1-40b0-98c1-ce8ed7f4b7c3,1041.754545,1157.509091,,2exposure_10c44027-85b1-40b0-98c1-ce8ed7f4b7c3,1549,45292,exposure_10c44027-85b1-40b0-98c1-ce8ed7f4b7c3,2,female,TRUE,7-12 mo,0,45235.70833,10,90,0,House,Birchgrove,2041,NSW,34323,900,7-12 months,29,1,2,unnamed cross,unknown,australian cattle dog cross,australian cattle dog cross,FALSE,0,45236.45088,Morning (05:00 - 11:59),exposure_10c44027-85b1-40b0-98c1-ce8ed7f4b7c3,1,1,,TRUE
8/8/2024 0:00,covered_paid,Gastrointestinal Issues,claim_0027d45c-b395-438b-9954-c5667d782bb1,7,exposure_360e2a98-7eea-4163-b7f4-acab694799fd,137.7090909,172.1454545,,7exposure_360e2a98-7eea-4163-b7f4-acab694799fd,33325,45505,exposure_360e2a98-7eea-4163-b7f4-acab694799fd,7,male,FALSE,0,0,45294.70833,4,80,0,Apartment,Brunswick West,3055,VIC,28098,800,0-6 months,47,1,2,purebred,brachycephalic,french bulldog,french bulldog,FALSE,0,45295.33624,Morning (05:00 - 11:59),exposure_360e2a98-7eea-4163-b7f4-acab694799fd,1,1,,
3/7/2024 0:00,covered_paid,Gastrointestinal Issues,claim_0045ff2b-0347-4a0f-9b89-1d767d194c56,5,exposure_815cb246-ae6d-455e-8894-4b7d45568bf6,51.59090909,142.5,,5exposure_815cb246-ae6d-455e-8894-4b7d45568bf6,26220,45474,exposure_815cb246-ae6d-455e-8894-4b7d45568bf6,5,female,FALSE,0,0,45345.70833,10,100,100,Apartment,Campbelltown,2560,NSW,30452,100100,7-12 months,40,1,2,purebred,brachycephalic,french bulldog,french bulldog,FALSE,0,45346.88594,Evening (18:00 - 23:59),exposure_815cb246-ae6d-455e-8894-4b7d45568bf6,1,1,,
27/7/2024 0:00,covered_paid,Gastrointestinal Issues,claim_00467c7b-d8cb-4ac4-bb09-0a99a4c1cbbc,6,exposure_cf9f55dc-c8d1-4b65-b999-7585b8ee0836,720.6181818,900.7727273,,6exposure_cf9f55dc-c8d1-4b65-b999-7585b8ee0836,30215,45474,exposure_cf9f55dc-c8d1-4b65-b999-7585b8ee0836,6,female,FALSE,0,0,45296.70833,3,80,0,House,Happy Valley,5159,SA,26011,800,0-6 months,52,1,1,cross,0,maltipoo,maltipoo,FALSE,0,45297.55594,Afternoon (12:00 - 17:59),exposure_cf9f55dc-c8d1-4b65-b999-7585b8ee0836,1,1,,
21/7/2024 0:00,covered_paid,Other,claim_0048cdc1-0a9c-44ec-8848-db263114942e,4,exposure_65b3eedd-cc43-4d2d-acf6-623587625954,336.9090909,421.1363636,,4exposure_65b3eedd-cc43-4d2d-acf6-623587625954,30870,45474,exposure_65b3eedd-cc43-4d2d-acf6-623587625954,4,male,FALSE,0,0,45370.70833,25,80,100,House,Rowville,3178,VIC,24279,80100,2 years,57,1,3,purebred,retriever,labrador retriever,labrador retriever,FALSE,0,45371.46342,Morning (05:00 - 11:59),exposure_65b3eedd-cc43-4d2d-acf6-623587625954,1,1,,
15/5/2024 0:00,covered_paid,Gastrointestinal Issues,claim_004d7417-efae-4857-8b73-b456fd83db1e,4,exposure_c9a2a12e-a91b-4b59-907a-343f4e9f026a,36.70909091,136.8,,4exposure_c9a2a12e-a91b-4b59-907a-343f4e9f026a,17552,45413,exposure_c9a2a12e-a91b-4b59-907a-343f4e9f026a,4,male,FALSE,0,0,45298.70833,3,80,100,House,Champion Lakes,6111,WA,29876,80100,0-6 months,42,1,3,purebred,mastiff,boxer,boxer,FALSE,0,45293.80493,Evening (18:00 - 23:59),exposure_c9a2a12e-a91b-4b59-907a-343f4e9f026a,1,1,,
22/8/2024 0:00,covered_paid,Allergies & skin,claim_007496ab-e5a4-47b9-ba61-ce7edb401285,8,exposure_587fe598-becc-4eae-9e16-453c093cdd80,17.70909091,113.0545455,,8exposure_587fe598-becc-4eae-9e16-453c093cdd80,39116,45505,exposure_587fe598-becc-4eae-9e16-453c093cdd80,8,male,FALSE,0,0,45269.70833,3,80,100,House,Reynella,5161,SA,33574,80100,0-6 months,32,1,3,purebred,pointer,german pointershort haired,german pointershort haired,FALSE,0,45270.38658,Morning (05:00 - 11:59),exposure_587fe598-becc-4eae-9e16-453c093cdd80,1,1,,
12/6/2024 0:00,covered_paid,Behavioral Issues,claim_0089d13b-7dd1-4803-ac0e-4cf65cd39478,4,exposure_f96ba9e6-762d-4b4e-ac32-c7782eb5c848,87.27272727,200,,4exposure_f96ba9e6-762d-4b4e-ac32-c7782eb5c848,22224,45444,exposure_f96ba9e6-762d-4b4e-ac32-c7782eb5c848,4,male,FALSE,0,0,45323.70833,5,80,100,House,Eden Hill,6054,WA,36074,80100,0-6 months,25,1,2,purebred,spaniel,cocker spaniel,cocker spaniel,FALSE,0,45324.4763,Morning (05:00 - 11:59),exposure_f96ba9e6-762d-4b4e-ac32-c7782eb5c848,1,1,,
5/6/2024 0:00,covered_with_exclusions,Illness,claim_0095c643-f14d-413f-8b31-4e8e4d93aa4a,6,exposure_b6a21daa-4767-4309-97d6-329ccbaa26b0,0,13.7,,6exposure_b6a21daa-4767-4309-97d6-329ccbaa26b0,22158,45444,exposure_b6a21daa-4767-4309-97d6-329ccbaa26b0,6,male,FALSE,0,0,45263.70833,12,90,100,House,Aberglasslyn,2320,NSW,35917,90100,7-12 months,25,1,2,purebred,collie related,australian cattle dogblue heeler,australian cattle dogblue heeler,TRUE,0,45263.39306,Morning (05:00 - 11:59),exposure_b6a21daa-4767-4309-97d6-329ccbaa26b0,1,1,,
14/6/2024 0:00,covered_paid,Illness,claim_00f18d4e-5899-4eff-ad38-9fb4eb4d0285,1,exposure_2daa1b58-d747-4d14-80d5-f19be8d479d6,155.9454545,173.2727273,,1exposure_2daa1b58-d747-4d14-80d5-f19be8d479d6,22478,45444,exposure_2daa1b58-d747-4d14-80d5-f19be8d479d6,1,female,FALSE,0,FALSE,45431.70833,3,90,100,House,Brunswick West,3055,VIC,34673,90100,0-6 months,29,1,2,purebred,spaniel,english cocker spaniel,english cocker spaniel,FALSE,0,45432.87818,Evening (18:00 - 23:59),exposure_2daa1b58-d747-4d14-80d5-f19be8d479d6,1,1,,
