Breed,AverageHipHealthScore,,
Affenpinscher,13.11,,
Afghan Hound,11.18,,
Airedale Terrier,8.77,,
Akita,7.57,,
Akita (Japanese),8.77,,
Alaskan Malamute,9.1,,
American Bulldog*,13.73,,
American Bully*,17.89,,
American Cocker Spaniel,8,,
American Hairless Terrier,5,,
American Staffordshire Terrier,16.68,,
American Wolfdog*,2,,
Anatolian Shepherd Dog,9.18,,
Anglo Wulfdog*,12,,
Australasian Bosdog,21.5,,
Australian Bulldog,28.71,,
Australian Cattle Dog,13.2,,
Australian Dingo,,,
Australian Kelpie,9.72,,
Australian Shepherd,7.2,,
Australian Silky Terrier,,,
Australian Stumpy Tail Cattle Dog,8.92,,
Australian Terrier,7.5,,
Azawakh,,,
Barbet*,26,,
Basenji,1,,
Basset Fauve de Bretagne,,,
Basset Hound,8,,
Bavarian Mountain Hound*,7.5,,
Beagle,17,,
Bearded Collie,8.3,,
Beauceron (Berger de Beauce),5.83,,
Bedlington Terrier,6,,
Belgian Shepherd Dog,5.37,,
Belgian Shepherd Dog (Groenendael),6.12,,
Belgian Shepherd Dog (Laekenois),5.5,,
Belgian Shepherd Dog (Malinois),5.79,,
Belgian Shepherd Dog (Tervueren),7.22,,
Bergamasco Shepherd Dog,11.25,,
Bernese Mountain Dog,8.6,,
Bichon Frise,13.33,,
Black and Tan Coonhound,13.71,,
Black Russian Terrier,9.27,,
Bloodhound,13.86,,
Bluetick Coonhound,6,,
Boerboel,13.38,,
Bordeaux Dog,24,,
Border Collie,8.97,,
Border Terrier,5.25,,
Borzoi,5,,
Boston Terrier,9.5,,
Bouvier Des Flandres,11.81,,
Boxer,1.4,,
Bracco Italiano,9.22,,
Braque d'Auvergne*,2,,
Briard,1.7,,
British Bulldog,32.99,,
Brittany,11.43,,
Bull Arab*,,,
Bull Terrier,24.5,,
Bull Terrier (Miniature),,,
Bulldog,2.67,,
Bullmastiff,14.58,,
Cairn Terrier,15,,
Canaan Dog,,,
Canadian Eskimo Dog,6.71,,
Cane Corso,13.61,,
Catahoula Leopard Dog*,7,,
Catalan Sheep Dog*,15.17,,
Caucasian Ovcharka*,12.33,,
Caucasian Shepherd Dog,3,,
Cavalier King Charles Spaniel,13.15,,
Cavoodle*,14.71,,
Central Asian Shepherd Dog,1.33,,
Cesky Terrier,,,
Chesapeake Bay Retriever,7.9,,
Chihuahua,11.19,,
Chihuahua (Long),1.5,,
Chihuahua (Smooth),,,
Chinese Chongqing Dog*,29,,
Chinese Crested Dog,11.5,,
Chinese Red Dog*,11,,
Chow Chow,11.57,,
Clumber Spaniel,18.15,,
Cobberdog*,8.96,,
Cockapoo*,8,,
Cocker Spaniel,11.68,,
Cocker Spaniel (American),12.75,,
Collie (Rough),8.95,,
Collie (Smooth),7.41,,
Coton De Tulear,13,,
Curly Coated Retriever,9.2,,
Czechoslovakian Vlcak*,6.57,,
Dachshund,9,,
Dachshund (Long Haired),,,
Dachshund (Miniature Long Haired),15.57,,
Dachshund (Miniature Smooth Haired),,,
Dachshund (Miniature Wire Haired),,,
Dachshund (Miniature),1,,
Dachshund (Smooth Haired),,,
Dachshund (Wire Haired),,,
