"nb_postcode","agricultural_land","national_parks","agricultural_land_band","national_parks_band"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
810,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
812,"98314","0","10,000-100,000","0"
820,"98314","0","10,000-100,000","0"
820,"98314","0","10,000-100,000","0"
820,"98314","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
830,"98313.855871676","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
832,"98314","0","10,000-100,000","0"
835,"98314","0","10,000-100,000","0"
835,"98314","0","10,000-100,000","0"
835,"98314","0","10,000-100,000","0"
835,"98314","0","10,000-100,000","0"
835,"98314","0","10,000-100,000","0"
835,"98314","0","10,000-100,000","0"
835,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
836,"98314","0","10,000-100,000","0"
850,"52964866","0.021","10,000,000+","0-5%"
850,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
870,"52964866","0.021","10,000,000+","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2000,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2007,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2008,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
2009,"0","0.001","0","0-5%"
